LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD,NAICSTitle
144705.0,Kailua Kona,HI,96740,441228,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,,2020-04-11T00:00:00Z,Bank of Hawaii,HI-02,"Motorcycle, atv, and other vehicle dealers"
144600.0,Wailuku,HI,96793,444190,Sole Proprietorship,Unanswered,Unanswered,Unanswered,False,15.0,2020-04-11T00:00:00Z,Central Pacific Bank,HI-02,Other building material dealers
144600.0,Lihue,HI,96766,238990,Corporation,Unanswered,Female Owned,Unanswered,False,10.0,2020-04-05T00:00:00Z,"American Savings Bank, FSB",HI-02,All other specialty trade contractors
144500.0,Waipahu,HI,96797,561730,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,4.0,2020-04-04T00:00:00Z,First Hawaiian Bank,HI-01,Landscaping services
144500.0,Kihei,HI,96753,238340,Corporation,White,Male Owned,Non-Veteran,False,13.0,2020-04-08T00:00:00Z,"American Savings Bank, FSB",HI-02,Tile and terrazzo contractors
144400.0,Aiea,HI,96701,337110,Corporation,Asian,Male Owned,Unanswered,False,20.0,2020-04-29T00:00:00Z,Hawaii National Bank,HI-01,Wood kitchen cabinet and countertop manufacturing
144400.0,Honolulu,HI,96814,238330,Corporation,Asian,Unanswered,Unanswered,False,14.0,2020-04-07T00:00:00Z,"American Savings Bank, FSB",HI-01,Flooring contractors
144377.5,Honolulu,HI,96815,448120,Corporation,Unanswered,Unanswered,Unanswered,False,14.0,2020-04-28T00:00:00Z,First Hawaiian Bank,HI-01,Women's clothing stores
144300.0,Kailua,HI,96734,443142,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,,2020-04-15T00:00:00Z,Bank of Hawaii,HI-02,Electronics stores
144300.0,Mililani,HI,96789,238140,Corporation,Unanswered,Unanswered,Unanswered,False,11.0,2020-06-01T00:00:00Z,"American Savings Bank, FSB",HI-01,Masonry contractors
144285.0,Kaneohe,HI,96744,311991,Corporation,Unanswered,Unanswered,Unanswered,False,,2020-04-12T00:00:00Z,Bank of Hawaii,HI-02,Perishable prepared food manufacturing
144207.0,Mililani,HI,96789,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,True,27.0,2020-05-01T00:00:00Z,First Hawaiian Bank,HI-01,Religious organizations
144165.0,Honolulu,HI,96813,561312,Corporation,Unanswered,Unanswered,Unanswered,False,,2020-04-11T00:00:00Z,Bank of Hawaii,HI-01,Executive search services
144000.0,Honolulu,HI,96825,722515,Corporation,Asian,Female Owned,Unanswered,False,20.0,2020-04-03T00:00:00Z,"American Savings Bank, FSB",HI-01,Snack and nonalcoholic beverage bars
143887.0,Hilo,HI,96720,722513,Limited Liability Company,Unanswered,Male Owned,Veteran,False,0.0,2020-05-03T00:00:00Z,Cross River Bank,HI-02,Limited-service restaurants
143800.0,Honolulu,HI,96819,423990,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,16.0,2020-04-05T00:00:00Z,"American Savings Bank, FSB",HI-01,Other miscellaneous durable goods merchant wholesalers
143800.0,Lahaina,HI,96761,442110,Corporation,Unanswered,Unanswered,Unanswered,False,8.0,2020-04-28T00:00:00Z,First Hawaiian Bank,HI-02,Furniture stores
143732.0,Honolulu,HI,96813,812310,Corporation,White,Female Owned,Non-Veteran,False,,2020-04-09T00:00:00Z,Central Pacific Bank,HI-01,Coin-operated laundries and drycleaners
143600.0,Honolulu,HI,96813,314120,Limited Liability Company,Unanswered,Male Owned,Unanswered,False,11.0,2020-04-04T00:00:00Z,"American Savings Bank, FSB",HI-01,Curtain and linen mills
143597.5,Honolulu,HI,96813,621340,Limited Liability Company,Asian,Unanswered,Unanswered,False,8.0,2020-04-14T00:00:00Z,First Hawaiian Bank,HI-01,"Offices of physical, occupational and speech therapists, and audiologists"
143500.0,Kapolei,HI,96709,112111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,,2020-04-10T00:00:00Z,Bank of Hawaii,HI-02,Beef cattle ranching and farming
143400.0,Waikoloa,HI,96738,238320,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,20.0,2020-04-12T00:00:00Z,"American Savings Bank, FSB",HI-02,Painting and wall covering contractors
143400.0,Kapolei,HI,96709,236116,Corporation,Unanswered,Male Owned,Non-Veteran,False,14.0,2020-04-12T00:00:00Z,Central Pacific Bank,HI-02,New multifamily housing construction (except for-sale builders)
143400.0,Waipahu,HI,96797,238150,Corporation,Unanswered,Unanswered,Unanswered,False,8.0,2020-04-08T00:00:00Z,Central Pacific Bank,HI-01,Glass and glazing contractors
143397.0,Kahului,HI,96732,334510,Corporation,Unanswered,Unanswered,Unanswered,False,10.0,2020-05-01T00:00:00Z,First Hawaiian Bank,HI-02,"Navigational, measuring, electromedical, and control instruments manufacturing"
143300.0,Kapolei,HI,96707,722511,Corporation,Asian,Male Owned,Unanswered,False,25.0,2020-04-05T00:00:00Z,"American Savings Bank, FSB",HI-02,Full-service restaurants
143300.0,Honolulu,HI,96814,621111,Corporation,Unanswered,Unanswered,Unanswered,False,11.0,2020-04-08T00:00:00Z,"American Savings Bank, FSB",HI-01,Offices of physicians (except mental health specialists)
143282.0,Hanalei,HI,96714,722511,Corporation,Unanswered,Unanswered,Unanswered,False,33.0,2020-05-15T00:00:00Z,Bank of Hawaii,HI-02,Full-service restaurants
143200.0,Honolulu,HI,96817,722513,Corporation,Unanswered,Unanswered,Unanswered,False,19.0,2020-04-10T00:00:00Z,Central Pacific Bank,HI-01,Limited-service restaurants
143100.0,Honolulu,HI,96813,541110,Corporation,Unanswered,Unanswered,Unanswered,False,9.0,2020-04-06T00:00:00Z,"American Savings Bank, FSB",HI-01,Offices of lawyers
143020.0,Kamuela,HI,96743,238910,Corporation,Unanswered,Unanswered,Unanswered,False,,2020-05-20T00:00:00Z,Bank of Hawaii,HI-02,Site preparation contractors
143000.0,Honolulu,HI,96817,333414,Corporation,Unanswered,Unanswered,Unanswered,False,,2020-04-13T00:00:00Z,Bank of Hawaii,HI-01,Heating equipment (except warm air furnaces) manufacturing
143000.0,Haleiwa,HI,96712,236220,Corporation,Unanswered,Unanswered,Unanswered,False,17.0,2020-04-05T00:00:00Z,"American Savings Bank, FSB",HI-02,Commercial and institutional building construction
142900.0,Pearl City,HI,96782,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,False,29.0,2020-04-14T00:00:00Z,First Hawaiian Bank,HI-01,Full-service restaurants
142867.5,Honolulu,HI,96817,112920,Sole Proprietorship,Unanswered,Unanswered,Unanswered,False,9.0,2020-04-30T00:00:00Z,First Hawaiian Bank,HI-01,Horses and other equine production
142800.0,Kailua,HI,96734,621210,Limited Liability Company,Unanswered,Unanswered,Unanswered,False,16.0,2020-04-03T00:00:00Z,"American Savings Bank, FSB",HI-02,Offices of dentists
142800.0,Honolulu,HI,96814,236118,Corporation,Unanswered,Unanswered,Unanswered,False,36.0,2020-04-13T00:00:00Z,First Hawaiian Bank,HI-01,Residential remodelers
142700.0,Honolulu,HI,96813,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,False,8.0,2020-04-06T00:00:00Z,First Hawaiian Bank,HI-01,Offices of lawyers
142700.0,Waipahu,HI,96797,238220,Corporation,Unanswered,Unanswered,Unanswered,False,9.0,2020-04-09T00:00:00Z,Central Pacific Bank,HI-01,Plumbing and hvac contractors
142660.0,Kapolei,HI,96707,238910,Corporation,Unanswered,Unanswered,Unanswered,False,10.0,2020-04-28T00:00:00Z,First Hawaiian Bank,HI-02,Site preparation contractors
142600.0,Kaunakakai,HI,96748,236220,Corporation,Unanswered,Unanswered,Unanswered,False,18.0,2020-05-01T00:00:00Z,"American Savings Bank, FSB",HI-02,Commercial and institutional building construction
142475.0,Hilo,HI,96720,721110,Corporation,Unanswered,Unanswered,Unanswered,False,18.0,2020-04-16T00:00:00Z,First Hawaiian Bank,HI-02,Hotels (except casino hotels) and motels
142400.0,Kailua Kona,HI,96740,238210,Corporation,Unanswered,Unanswered,Unanswered,False,0.0,2020-05-05T00:00:00Z,Central Pacific Bank,HI-02,Electrical and wiring contractors
